prosperity_index,house_is,price,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,swimming_pool_has,property_subtype_APARTMENT_BLOCK,property_subtype_DUPLEX,property_subtype_GROUND_FLOOR,property_subtype_HOUSE,property_subtype_MIXED_USE_BUILDING,property_subtype_OTHER,property_subtype_PENTHOUSE,property_subtype_VILLA,region_F,region_W,building_state_agg_renovated,building_state_agg_to_renovate
95.0,0,325000.0,2.0,84.0,0,0,0,1,5.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,315000.0,2.0,83.0,1,0,0,1,2.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,585000.0,3.0,136.0,1,0,0,1,17.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,449000.0,3.0,137.0,1,0,0,1,8.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,244000.0,2.0,86.0,1,0,0,1,18.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,350000.0,2.0,106.0,1,0,0,1,15.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,390000.0,2.0,90.0,1,0,0,1,6.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,479000.0,2.0,135.0,1,0,0,1,43.0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
95.0,0,445000.0,2.0,99.0,1,0,0,1,10.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,754500.0,2.0,159.0,1,0,0,1,74.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
95.0,0,480000.0,2.0,135.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,249000.0,2.0,90.0,1,0,0,1,10.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,395000.0,3.0,90.0,1,0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
95.0,0,159000.0,1.0,60.0,1,0,0,1,15.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
95.0,0,380000.0,3.0,107.0,1,0,0,1,13.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,615000.0,3.0,176.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,440000.0,2.0,100.0,1,1,0,1,10.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,395000.0,2.0,115.0,1,0,0,1,25.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
